INDIVIDUAL_ID,AGERAW,GENDER,BBC_VMF,SKY_VMF,VIRGIN_VMF,ALBA,BBC1,BBC2,BBC4,CBBC,CBEEBIES,NEWS,PARLIAMENT
I-1011837_1,38,1,8,10,8,0,81.8,9.3,4.1,0,0,4.8,0
I-1011820_1,58,2,8,9,0,0,73.9,14.5,4.6,0,0,7,0
I-1011810_1,65,2,5,5,3,0,60.8,39.2,0,0,0,0,0
I-1011805_1,65,1,5,6,3,0.1,83.3,13,3.6,0,0,0,0
I-1011790_1,41,2,3,5,10,0,24.2,6.7,0.3,5.4,63.3,0,0
I-1011745_1,36,2,4,5,5,0,63.3,16.3,0,4.7,15.8,0,0
I-1011744_1,48,2,7,6,5,0,82.4,15.3,2.2,0,0,0,0
I-1011734_1,53,2,0,0,0,0,54.1,44.5,0,0,0,1.4,0
I-1011729_1,46,1,1,1,1,0,85,9.7,5.2,0,0,0,0
I-1011722_1,40,2,10,10,10,0,43.1,25.9,10.8,19.2,0,1.1,0
I-1011703_1,55,1,8,0,0,0,39.7,11.1,41.9,0,0.2,6.9,0.2
I-1011661_1,34,2,7,7,7,0,76.3,22.9,0.8,0,0,0,0
I-1011661_1,35,2,7,7,7,0,76.3,22.9,0.8,0,0,0,0
I-1011660_1,20,1,8,8,9,0,86.5,9,4.5,0,0,0,0
I-1011660_1,21,1,8,8,9,0,86.5,9,4.5,0,0,0,0
I-1011644_1,32,2,7,8,0,0,0,66.8,0,0,33.2,0,0
I-1011637_1,55,1,1,3,8,0,80.4,16.9,2.6,0,0,0,0
I-1011637_1,56,1,1,3,8,0,80.4,16.9,2.6,0,0,0,0
I-1011614_1,70,1,8,4,7,0,69.6,26.5,2.5,0,0,1.5,0
I-1011555_1,39,2,3,4,0,0,51.1,48.9,0,0,0,0,0
I-1011555_1,40,2,3,4,0,0,51.1,48.9,0,0,0,0,0
I-1011539_1,60,1,4,9,0,0,48.1,39.7,11.8,0,0,0.4,0
I-1011528_1,26,1,9,2,2,0,61.7,1.4,7.2,0,0,4.8,25
I-1011528_1,27,1,9,2,2,0,61.7,1.4,7.2,0,0,4.8,25
I-1011517_1,42,2,8,7,7,0,50.9,33.5,6.2,5.1,0,4.3,0
I-1011509_1,60,1,1,5,4,0,66.8,24.4,8.8,0,0,0,0
I-1011509_1,61,1,1,5,4,0,66.8,24.4,8.8,0,0,0,0
I-1011501_1,31,2,0,0,0,0,63.8,36.2,0,0,0,0,0
I-1011491_1,59,1,3,1,1,0,82.8,9,2.9,0,4,0,1.3
I-1011491_1,60,1,3,1,1,0,82.8,9,2.9,0,4,0,1.3
I-1011456_1,44,1,10,7,0,0,93,2.7,0.3,0,4,0,0
I-1011456_1,45,1,10,7,0,0,93,2.7,0.3,0,4,0,0
I-1011443_1,49,1,2,2,2,0,67.4,16.2,5.5,0.4,0,10.3,0.2
I-1011435_1,41,2,8,9,0,0,45.9,52.3,1.8,0,0,0,0
I-1011424_1,46,1,10,9,9,0,62.6,19.2,18.2,0,0,0,0
I-1011424_1,47,1,10,9,9,0,62.6,19.2,18.2,0,0,0,0
I-1011416_1,36,2,9,0,0,0,22.6,2.2,5.8,0,0,42.8,26.7
I-1011416_1,37,2,9,0,0,0,22.6,2.2,5.8,0,0,42.8,26.7
I-1011406_1,54,2,5,5,0,0,76.5,22.5,0.1,0,0,0.9,0
I-1011400_1,37,1,4,1,6,0,69.6,0,0,0,2.4,28,0
I-1011386_1,43,1,2,10,6,0,81.3,12.4,0,4,0,2.3,0
I-1011316_1,64,1,7,8,0,0,63.3,26.9,9.8,0,0,0,0
I-1011304_1,70,2,8,4,7,0,91.3,4.8,2.4,0,0,1.4,0
I-1011298_1,43,2,7,3,3,0,81.6,18.4,0,0,0,0,0
I-1011287_1,76,2,10,5,5,5.9,51.6,25,11.9,0,0,3.6,2.1
I-1011281_1,36,2,1,0,0,0,56.2,35.7,0,0,0,8,0
I-1011253_1,21,2,9,9,9,0,41,29.2,5.1,5.2,0,19.6,0
I-1011146_1,44,2,6,1,0,0,47.3,20.5,2.3,4.1,22.4,2.9,0.4
I-1011100_1,68,1,1,3,3,0,90.6,7.8,0.6,0,0,1,0
I-1011090_1,36,2,1,0,0,0,17.5,0,0,0,0,77.9,4.6
I-1011083_1,30,2,1,7,7,0,85.9,0,14.1,0,0,0,0
I-1010998_1,38,2,4,2,5,0,67.7,27.3,3.6,1.4,0,0,0
I-1010983_1,50,2,2,9,0,0,25.2,10.5,2.3,57.4,4.5,0,0
I-1010968_1,47,2,1,9,0,1.2,14.6,52.1,32.1,0,0,0,0
I-1010941_1,51,2,2,1,4,0,69.2,24.6,3.2,0,0,3,0
I-1010902_1,25,1,8,0,0,0,97.6,2.4,0,0,0,0,0
I-1010883_1,31,1,6,6,5,0,69.5,27.4,0,0.7,0,2.4,0
I-1010877_1,34,2,2,2,2,0,57.7,39.5,0,0,2.8,0,0
I-1010834_1,49,1,9,7,8,0,44.4,0.4,27.1,0,0,28.1,0
I-1010801_1,42,2,10,1,1,0,92.4,7.2,0.3,0,0,0,0
I-1010795_1,49,2,4,2,3,0,63.7,9.4,4.1,0,0,21.8,1.1
I-1010787_1,39,1,8,6,8,0,41.1,1,0,0,57.9,0,0
I-1010783_1,63,2,5,6,6,0,67.7,27.2,3,0,0,2,0
I-1010776_1,38,2,1,0,8,0,18.9,75.1,6,0,0,0,0
I-1010776_1,39,2,1,0,8,0,18.9,75.1,6,0,0,0,0
I-1010752_1,69,2,5,0,0,0,25.8,18.2,0,0,56.1,0,0
I-1010742_1,35,1,8,1,3,0,27,22.4,18.6,9,23.1,0,0
I-1010742_1,36,1,8,1,3,0,27,22.4,18.6,9,23.1,0,0
I-1010733_1,47,2,6,4,7,0,74,9.4,14.5,0,0,2.1,0
I-1010719_1,35,2,10,8,9,0.8,75.3,13.3,5.9,0,0,0.6,4
I-1010657_1,36,1,2,0,0,0,47.3,52.7,0,0,0,0,0
I-1010615_1,42,1,2,5,0,17.1,61.2,2.9,0.7,11.9,6.1,0,0
I-1010579_1,45,2,6,6,7,0,72.2,14.5,12.2,1.1,0,0,0
I-1010502_1,36,2,3,0,0,0,38.9,10.2,0,0,50.9,0,0
I-1010502_1,37,2,3,0,0,0,38.9,10.2,0,0,50.9,0,0
I-1010493_1,49,1,7,8,0,0,64.6,33,0.9,0,0,1.5,0
I-1010487_1,32,2,5,5,4,0,70.4,29.6,0,0,0,0,0
I-1010481_1,47,1,9,8,7,0,86.6,13.4,0,0,0,0,0
I-1010478_1,38,1,5,7,7,100,0,0,0,0,0,0,0
