INDIVIDUAL_ID,STREAM_LABEL,AVG_DURATION_SEC
I-1001024_1,BBC4 TV - TV,4839
I-1001035_1,BBC1 North West,10051
I-1001035_1,BBC2 England,3568
I-1001035_1,CBeebies - TV,688
I-1001050_1,BBC1 North West,3298
I-1001086_1,BBC1 North East and Cumbria,71303.5
I-1001086_1,BBC2 England,18399.416666666668
I-1001086_1,BBC4 TV - TV,893
I-1001113_1,BBC1 Midlands East,6778
I-1001113_1,BBC2 England,5722
I-1001118_1,BBC News - TV,358
I-1001118_1,BBC Parliament - TV,118
I-1001118_1,BBC1 East of England,39571.4
I-1001118_1,BBC2 England,10536.25
I-1001118_1,BBC4 TV - TV,4334.5
I-1001147_1,BBC News - TV,497.8333333333333
I-1001147_1,BBC1 Yorkshire and Lincolnshire,20070.75
I-1001147_1,BBC2 England,2135.8888888888887
I-1001147_1,BBC4 TV - TV,417.5
I-1001172_1,BBC News - TV,838
I-1001172_1,BBC1 London,6973
I-1001172_1,BBC2 England,2620.625
I-1001172_1,BBC4 TV - TV,1096.3333333333333
I-1001172_1,CBBC - TV,814.25
I-1001172_1,CBeebies - TV,23656.636363636364
I-1001186_1,BBC1 Yorkshire and Lincolnshire,9876.8
I-1001186_1,BBC2 England,738
I-1001186_1,BBC4 TV - TV,59
I-1001230_1,BBC1 Scotland,1295.3
I-1001230_1,BBC2 Scotland,1676.5
I-1001313_1,BBC1 South,1227
I-1001313_1,BBC2 England,1257
I-1001313_1,CBBC - TV,59
I-1001353_1,BBC1 Yorkshire and Lincolnshire,4580
I-1001353_1,BBC2 England,4886
I-1001486_1,BBC News - TV,76375
I-1001486_1,BBC Parliament - TV,2458.5
I-1001486_1,BBC1 London,10763.444444444445
I-1001486_1,BBC2 England,25416.333333333332
I-1001486_1,BBC4 TV - TV,1076
I-1001571_1,BBC News - TV,226.4
I-1001571_1,BBC1 Yorkshire and Lincolnshire,98521.25
I-1001571_1,BBC2 England,20992.083333333332
I-1001589_1,BBC News - TV,218.66666666666666
I-1001589_1,BBC1 East of England,34266.5
I-1001589_1,BBC2 England,3288.285714285714
I-1001595_1,BBC1 East of England,3137
I-1001595_1,BBC2 England,3897
I-1001595_1,BBC4 TV - TV,59
I-1001686_1,BBC News - TV,158.33333333333334
I-1001686_1,BBC1 Yorkshire and Lincolnshire,4890.727272727273
I-1001686_1,BBC2 England,1527
I-1001686_1,CBeebies - TV,179
I-1001690_1,BBC2 England,415
I-1001691_1,BBC News - TV,2998
I-1001691_1,BBC1 London,6006.166666666667
I-1001691_1,BBC2 England,3510.125
I-1001691_1,BBC4 TV - TV,756.1666666666666
I-1001707_1,BBC1 North West,10760
I-1001707_1,BBC2 England,14012
I-1001722_1,BBC Alba - TV,419
I-1001722_1,BBC News - TV,7461.6
I-1001722_1,BBC Parliament - TV,5424.75
I-1001722_1,BBC1 North East and Cumbria,21081
I-1001722_1,BBC2 England,7196.4
I-1001722_1,BBC4 TV - TV,3295.8888888888887
I-1001731_1,BBC News - TV,177
I-1001731_1,BBC1 North West,12387.75
I-1001731_1,BBC2 England,9186
I-1001731_1,BBC4 TV - TV,118
I-1001731_1,CBeebies - TV,118
I-1001751_1,BBC Alba - TV,118
I-1001751_1,BBC News - TV,1439
I-1001751_1,BBC Parliament - TV,1199
I-1001751_1,BBC1 Scotland,15320.857142857143
I-1001751_1,BBC2 Scotland,6997.5
I-1001769_1,BBC1 Scotland,208.5
I-1001769_1,BBC2 Scotland,118.5
I-1001784_1,BBC1 East of England,1908
I-1001784_1,BBC2 England,1977
I-1001828_1,BBC1 East of England,2996.8333333333335
I-1001828_1,BBC2 England,118
I-1001871_1,BBC1 London,2087
I-1001871_1,BBC2 England,539
I-1001871_1,CBBC - TV,59
I-1001881_1,BBC1 North West,5060.25
I-1001881_1,BBC2 England,2727.1
I-1001881_1,BBC4 TV - TV,3658
I-1001881_1,CBBC - TV,508
I-1001881_1,CBeebies - TV,3058.090909090909
I-1001901_1,BBC2 England,418
I-1001913_1,BBC1 Yorkshire and Lincolnshire,6819.6
I-1001913_1,BBC2 England,3063.3333333333335
I-1001913_1,CBeebies - TV,59
I-1002000_1,BBC Alba - TV,178
I-1002000_1,BBC1 Scotland,10359.083333333334
I-1002000_1,BBC2 Scotland,2531.375
I-1002000_1,CBeebies - TV,615.2857142857143
I-1002030_1,BBC News - TV,238
I-1002030_1,BBC1 Midlands West,656
I-1002030_1,BBC2 England,299
I-1002030_1,CBeebies - TV,5279
I-1002051_1,BBC1 South West,39422.444444444445
I-1002051_1,BBC2 England,21275.333333333332
I-1002051_1,BBC4 TV - TV,11885.5
I-1002051_1,CBBC - TV,118
I-1002073_1,BBC News - TV,59
I-1002073_1,BBC1 Yorkshire and Lincolnshire,9355.8
I-1002073_1,BBC2 England,1617.2
I-1002073_1,BBC4 TV - TV,118
I-1002099_1,BBC News - TV,1867.3333333333333
I-1002099_1,BBC Parliament - TV,298
I-1002099_1,BBC1 Yorkshire and Lincolnshire,1266.5
I-1002099_1,BBC2 England,1707
I-1002099_1,BBC4 TV - TV,118
I-1002099_1,CBBC - TV,58
I-1002129_1,BBC News - TV,118
I-1002129_1,BBC1 London,18300.14285714286
I-1002129_1,BBC2 England,2708.2
I-1002129_1,BBC4 TV - TV,118
I-1002154_1,BBC News - TV,2106.4
I-1002154_1,BBC Parliament - TV,313
I-1002154_1,BBC1 North West,128393.41666666667
I-1002154_1,BBC2 England,10324.916666666666
I-1002192_1,BBC Parliament - TV,4953.4
I-1002192_1,BBC1 South East,53695.3
I-1002192_1,BBC2 England,6371.4
I-1002192_1,CBBC - TV,358
I-1002243_1,BBC1 North West,2116
I-1002243_1,BBC2 England,218
I-1002243_1,BBC4 TV - TV,535
I-1002257_1,BBC News - TV,1678.25
I-1002257_1,BBC Parliament - TV,6489.5
I-1002257_1,BBC1 Midlands West,84904.36363636363
I-1002257_1,BBC2 England,8095.2
I-1002257_1,BBC4 TV - TV,959
I-1002271_1,BBC Alba - TV,1495.5
I-1002271_1,BBC1 Scotland,21195.714285714286
I-1002271_1,BBC2 Scotland,4727
I-1002292_1,BBC News - TV,639
I-1002292_1,BBC1 Midlands East,14978.666666666666
I-1002292_1,BBC2 England,10854.083333333334
I-1002292_1,BBC4 TV - TV,4388.5
I-1002292_1,CBeebies - TV,10569.181818181818
I-1002373_1,BBC News - TV,7026.1
I-1002373_1,BBC1 North West,8252.545454545454
I-1002373_1,BBC2 England,155.875
I-1002373_1,BBC4 TV - TV,166.6
I-1002394_1,BBC News - TV,7695.666666666667
I-1002394_1,BBC1 South East,47127
I-1002394_1,BBC2 England,5626.428571428572
I-1002394_1,BBC4 TV - TV,1587
I-1002399_1,BBC1 Midlands West,936.3333333333334
I-1002399_1,BBC2 England,118
I-1002413_1,BBC News - TV,298
I-1002413_1,BBC Parliament - TV,238
I-1002413_1,BBC1 East of England,4730.333333333333
I-1002413_1,BBC2 England,6885
I-1002413_1,CBBC - TV,118
I-1002413_1,CBeebies - TV,11750
I-1002448_1,BBC1 London,2818.3333333333335
I-1002448_1,BBC2 England,4391.5
I-1002448_1,BBC4 TV - TV,2789.3333333333335
I-1002448_1,CBeebies - TV,59
I-1002468_1,BBC News - TV,6675.333333333333
I-1002468_1,BBC Parliament - TV,7857.6
I-1002468_1,BBC1 North West,82995.09090909091
I-1002468_1,BBC2 England,27082.636363636364
I-1002468_1,BBC4 TV - TV,4420.818181818182
I-1002469_1,BBC News - TV,318.3333333333333
I-1002469_1,BBC1 London,7655.25
I-1002469_1,BBC2 England,1097
I-1002469_1,BBC4 TV - TV,1678
I-1002476_1,BBC Alba - TV,358.5
I-1002476_1,BBC News - TV,959
I-1002476_1,BBC Parliament - TV,568
I-1002476_1,BBC1 Scotland,14666.454545454546
I-1002476_1,BBC2 Scotland,3442.4
I-1002476_1,BBC4 TV - TV,1704.5
I-1002504_1,BBC News - TV,1017
I-1002504_1,BBC1 Scotland,61694.5
I-1002504_1,BBC2 Scotland,4061.5
I-1002513_1,BBC1 South West,5743.545454545455
I-1002513_1,BBC2 England,1229
I-1002565_1,BBC News - TV,147.5
I-1002565_1,BBC1 South,50827.454545454544
I-1002565_1,BBC2 England,2028.7142857142858
I-1002565_1,BBC4 TV - TV,1976
I-1002566_1,BBC1 South West,12463.5
I-1002566_1,BBC2 England,5690.25
I-1002566_1,BBC4 TV - TV,298
I-1002566_1,CBeebies - TV,2694.5
I-1002588_1,BBC News - TV,477.3333333333333
I-1002588_1,BBC Parliament - TV,7531.2
I-1002588_1,BBC1 Yorkshire and Lincolnshire,53700.833333333336
I-1002588_1,BBC2 England,6976.5
I-1002588_1,BBC4 TV - TV,178
I-1002606_1,BBC1 Midlands West,14849.5
I-1002606_1,BBC2 England,2187.75
I-1002606_1,CBBC - TV,3927.5
I-1002609_1,BBC1 North East and Cumbria,32360.25
I-1002609_1,BBC2 England,3580.25
I-1002609_1,CBBC - TV,59
I-1002618_1,BBC1 Midlands West,10188.333333333334
I-1002618_1,BBC2 England,4346.333333333333
I-1002618_1,BBC4 TV - TV,178
I-1002630_1,BBC1 Midlands West,5593.8
I-1002630_1,BBC2 England,59
I-1002630_1,BBC4 TV - TV,59
I-1002631_1,BBC News - TV,178
I-1002631_1,BBC1 Midlands East,13595
I-1002631_1,BBC2 England,8317
I-1002631_1,BBC4 TV - TV,3644
I-1002653_1,BBC Alba - TV,2646.6
I-1002653_1,BBC News - TV,59
I-1002653_1,BBC Parliament - TV,118
I-1002653_1,BBC1 Scotland,4089
I-1002653_1,BBC2 Scotland,777
I-1002653_1,BBC4 TV - TV,995.25
I-1002653_1,CBBC - TV,118
I-1002653_1,CBeebies - TV,10259
I-1002659_1,BBC News - TV,5263.222222222223
I-1002659_1,BBC1 London,165610.41666666666
I-1002659_1,BBC2 England,14265.75
I-1002659_1,BBC4 TV - TV,5888.4
I-1002682_1,BBC News - TV,398.3333333333333
I-1002682_1,BBC1 North East and Cumbria,38897.181818181816
I-1002682_1,BBC2 England,2683.1111111111113
I-1002682_1,BBC4 TV - TV,177.25
I-1002688_1,BBC News - TV,238
I-1002688_1,BBC1 West,8042.181818181818
I-1002688_1,BBC2 England,719
I-1002696_1,BBC Alba - TV,118
I-1002696_1,BBC News - TV,2755.285714285714
I-1002696_1,BBC Parliament - TV,2600.8
I-1002696_1,BBC1 London,47321.5
I-1002696_1,BBC2 England,9356.5
I-1002696_1,BBC4 TV - TV,3151.5714285714284
I-1002696_1,CBeebies - TV,118
I-1002702_1,BBC1 London,1160.6
I-1002702_1,BBC2 England,1284
I-1002703_1,BBC1 South,3266.8571428571427
I-1002703_1,BBC2 England,792
I-1002703_1,BBC4 TV - TV,148
I-1002703_1,CBeebies - TV,1356.3333333333333
I-1002733_1,BBC1 Wales,12115.09090909091
I-1002733_1,BBC2 Wales,7209.5
I-1002733_1,BBC4 TV - TV,59
I-1002736_1,BBC1 London,29837.583333333332
I-1002736_1,BBC2 England,1266.6666666666667
I-1002767_1,BBC News - TV,4802
I-1002767_1,BBC Parliament - TV,177
I-1002767_1,BBC1 North West,16547.363636363636
I-1002767_1,BBC2 England,2715.1111111111113
I-1002767_1,BBC4 TV - TV,1954.125
I-1002768_1,BBC News - TV,1036.4444444444443
I-1002768_1,BBC Parliament - TV,509
I-1002768_1,BBC1 Midlands West,2469.5714285714284
I-1002768_1,BBC2 England,381
I-1002768_1,CBeebies - TV,778
I-1002769_1,BBC1 Midlands West,298
